data/kolin2.MOV
Frame number,Hips height (frame coordinates),Hips height (real coordinates),Left foot height (frame coordinates),Left foot height (real coordinates),Right foot height (frame coordinates),Right foot height (real coordinates)
60,-423.6,-45.6,-464.1,-86.1,-504.6,-126.6
61,-423.6,-43.6,-504.6,-124.6,-480.3,-100.3
62,-424.6,-41.6,-497.5,-114.5,-489.4,-106.4
63,-429,-43,-501,-115,-477,-91
64,-430,-43.5,-510,-123.5,-470,-83.5
65,-433,-44,-513,-124,-465,-76
66,-430.843,-40.8429,-517.114,-127.114,-485.743,-95.7429
67,-434,-44,-522,-132,-474,-84
68,-434,-44.5,-514,-124.5,-490,-100.5
69,-437,-46.5,-497,-106.5,-497,-106.5
70,-429.843,-39.3429,-484.743,-94.2429,-500.429,-109.929
71,-437.943,-47.4429,-485.771,-95.2714,-509.686,-119.186
72,-439.943,-48.9429,-495.743,-104.743,-519.657,-128.657
73,-440.324,-48.3241,-495.503,-103.503,-519.152,-127.152
74,-438.324,-46.3241,,,-509.269,-117.269
75,-436.324,-42.3241,-507.269,-113.269,-507.269,-113.269
76,-434.971,-35.9714,,,-490.771,-91.7714
77,-438.971,-36.4714,-534.629,-132.129,-478.829,-76.3286
78,-447.324,-39.8241,,,-478.855,-71.3552
79,-438.441,-24.9414,-533.034,-119.534,-533.034,-119.534
80,-439.668,-20.1679,-524.693,-105.193,-471.458,-51.9578
81,-433.247,-8.74729,,,-476.836,-52.3358
82,-427.83,0.170108,,,-475.709,-47.7092
83,-418.968,15.032,-478.989,-44.9889,-471.626,-37.6256
84,-417.738,18.7624,-477.187,-40.6872,-464.61,-28.1097
85,-406.746,32.7541,-448.32,-8.82008,-448.32,-8.82008
86,-405.442,39.0585,,,-441.101,3.39895
87,-413.925,34.5749,-434.922,13.5784,-450.578,-2.07831
88,-416.92,37.5804,-427.226,27.2736,-434.591,19.909
89,-415.003,45.4973,-426.392,34.1077,-418.568,41.9317
90,-418.017,46.4829,-432.836,31.664,-431.807,32.6929
91,-426.65,45.35,-406.4,65.6,-406.4,65.6
92,-420.776,57.2243,-388.17,89.8301,-397.993,80.0066
93,-418.709,66.2906,-375.004,109.996,-386.908,98.0919
94,-421.595,69.9049,-369.037,122.463,-379.537,111.963
95,-421.703,74.2969,-359.473,136.527,-370.43,125.57
96,-417.337,85.663,-353.201,149.799,-359.627,143.373
97,-410.317,99.6833,-342.508,167.492,-342.508,167.492
98,,,,,,
99,,,,,,
100,,,-328.981,193.019,,
101,-390.719,136.281,,,-323.41,203.59
102,-382.674,148.826,-313.205,218.295,-312.164,219.336
103,,,,,,
104,,,,,,
105,-357,190.5,-269.314,278.186,-285.257,262.243
106,-348,202,-260.314,289.686,-276.257,273.743
107,,,-260.286,296.214,,
108,,,,,,
109,,,,,-223.343,343.157
110,-303.029,264.471,,,-223.314,344.186
111,-286.057,286.943,-206.343,366.657,-206.343,366.657
112,,,,,,
113,-276.971,300.529,,,,
114,,,,,,
115,-239.014,341.986,-155.314,425.686,-155.314,425.686
116,,,,,,
117,-213.043,371.957,,,,
118,-214,371,,,,
119,-199.014,384.486,,,,
120,-187.014,395.486,,,,
121,-182,398.5,,,,
122,,,,,,
123,,,,,,
124,,,,,,
125,-173,418,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,,,,,,
131,,,,,,
132,,,,,-207.971,423.029
133,,,,,,
134,,,,,,
135,,,,,,
136,-243.914,388.086,-331.6,300.4,-331.6,300.4
137,-257.886,373.114,-337.6,293.4,-337.6,293.4
138,-265.886,363.114,-345.6,283.4,-345.6,283.4
139,-274.886,350.114,-354.6,270.4,-354.6,270.4
140,-283.886,336.114,-363.6,256.4,-363.6,256.4
141,-290.886,326.114,-370.6,246.4,-370.6,246.4
142,-298.886,311.614,,,,
143,-309.886,297.114,,,,
144,-322.886,280.114,,,-402.6,200.4
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
149,,,,,,
