data/kolin.mp4
Frame number,Hips height,Left ankle height,Right ankle height,Torso tilt,Shoulders tilt
180,?,?,?,?,?
181,?,?,?,?,?
182,?,?,?,?,?
183,?,?,?,?,?
184,?,?,?,?,?
185,?,?,?,?,?
186,?,?,?,?,?
187,?,?,?,?,?
188,?,?,?,?,?
189,?,?,?,?,?
190,?,?,?,?,?
191,?,?,?,?,?
192,?,?,?,?,?
193,?,?,?,?,?
194,?,?,?,?,?
195,?,?,?,?,?
196,?,?,?,?,?
197,?,?,?,?,?
198,?,?,?,?,?
199,?,?,?,?,?
200,?,?,?,?,?
201,?,?,?,?,?
202,?,?,?,?,?
203,?,?,?,?,?
204,?,?,?,?,?
205,?,?,?,?,?
206,?,?,?,?,?
207,?,?,?,?,?
208,?,?,?,?,?
209,?,?,?,?,?
210,?,?,?,?,?
211,?,?,?,?,?
212,?,?,?,?,?
213,?,?,?,?,?
214,?,?,?,?,?
215,?,?,?,?,?
216,?,?,?,?,?
217,?,?,?,?,?
218,?,?,?,?,?
219,?,?,?,?,?
220,?,?,?,?,?
221,?,?,?,?,?
222,?,?,?,?,?
223,?,?,?,?,?
224,?,?,?,?,?
225,?,?,?,?,?
226,?,?,?,?,?
227,?,?,?,?,?
228,?,?,?,?,?
229,?,?,?,?,?
230,?,?,?,?,?
231,?,?,?,?,?
